año,mes,tipo de cambio 
1954,junio,25.5
1954,julio,26.15
1954,agosto,26.25
1954,setiembre,26.5
1954,octubre,26.5
1954,noviembre,26.95
1954,diciembre,26.7
1955,enero,27.85
1955,febrero,28.1
1955,marzo,28.4
1955,abril,29.5
1955,mayo,31.85
1955,junio,33.25
1955,julio,30.75
1955,agosto,31.5
1955,setiembre,27
1955,octubre,29.15
1955,noviembre,32.5
1955,diciembre,36
1956,enero,40.5
1956,febrero,42.85
1956,marzo,40.5
1956,abril,37.8
1956,mayo,35.2
1956,junio,32.6
1956,julio,30.2
1956,agosto,32.5
1956,setiembre,30.8
1956,octubre,32.1
1956,noviembre,34.9
1956,diciembre,36.55
1957,enero,37.4
1957,febrero,36.7
1957,marzo,40.5
1957,abril,37
1957,mayo,40.25
1957,junio,40.75
1957,julio,42.5
1957,agosto,43.85
1957,setiembre,43
1957,octubre,39.25
1957,noviembre,37
1957,diciembre,37.2
1958,enero,37.25
1958,febrero,38.25
1958,marzo,40.5
1958,abril,42
1958,mayo,42.3
1958,junio,42.1
1958,julio,42.5
1958,agosto,46.5
1958,setiembre,54.25
1958,octubre,73.5
1958,noviembre,71.5
1958,diciembre,70.5
1959,enero,65.3
1959,febrero,68.7
1959,marzo,68.4
1959,abril,80.8
1959,mayo,88.8
1959,junio,84.9
1959,julio,86
1959,agosto,83.5
1959,setiembre,82.5
1959,octubre,82.3
1959,noviembre,83.1
1959,diciembre,83.3
1960,enero,82.9
1960,febrero,82.7
1960,marzo,82.9
1960,abril,83.4
1960,mayo,82.8
1960,junio,82.5
1960,julio,82.6
1960,agosto,82.6
1960,setiembre,83
1960,octubre,82.7
1960,noviembre,82.85
1960,diciembre,82.65
1961,enero,82.75
1961,febrero,82.6
1961,marzo,82.9
1961,abril,83.5
1961,mayo,82.8
1961,junio,82.6
1961,julio,82.75
1961,agosto,83.5
1961,setiembre,83.25
1961,octubre,83.45
1961,noviembre,83.3
1961,diciembre,84.2
1962,enero,83.55
1962,febrero,83.4
1962,marzo,83.8
1962,abril,99.5
1962,mayo,112.5
1962,junio,133
1962,julio,118.4
1962,agosto,126.3
1962,setiembre,128.8
1962,octubre,139.6
1962,noviembre,148.4
1962,diciembre,134.1
1963,enero,134.4
1963,febrero,135.2
1963,marzo,140.3
1963,abril,137.2
1963,mayo,138.8
1963,junio,139
1963,julio,134
1963,agosto,134.6
1963,setiembre,149.6
1963,octubre,146.8
1963,noviembre,140.8
1963,diciembre,132.5
1964,enero,134.25
1964,febrero,130.9
1964,marzo,138.25
1964,abril,142.7
1964,mayo,140.4
1964,junio,156.55
1964,julio,174.15
1964,agosto,169.35
1964,setiembre,161.22
1964,octubre,166.05
1964,noviembre,179.41
1964,diciembre,192.89
1965,enero,215
1965,febrero,223.38
1965,marzo,217.88
1965,abril,227
1965,mayo,248
1965,junio,276.2
1965,julio,285.71
1965,agosto,272.34
1965,setiembre,258.18
1965,octubre,233.07
1965,noviembre,225
1965,diciembre,233.9
1966,enero,247.37
1966,febrero,238.16
